Timestamp,Y_Hidung,Y_Posisi_Awal,Status_Gerakan
2026-06-05 18:21:17,185,232,Lompat
2026-06-05 18:21:17,87,232,Lompat
2026-06-05 18:21:17,134,232,Lompat
2026-06-05 18:21:18,301,232,Merunduk
2026-06-05 18:21:18,314,232,Merunduk
2026-06-05 18:21:18,284,232,Merunduk
2026-06-05 18:21:19,159,232,Lompat
2026-06-05 18:21:19,122,232,Lompat
2026-06-05 18:21:19,132,232,Lompat
2026-06-05 18:21:19,146,232,Lompat
2026-06-05 18:21:20,150,232,Lompat
2026-06-05 18:21:20,149,232,Lompat
2026-06-05 18:21:20,148,232,Lompat
2026-06-05 18:21:21,149,232,Lompat
2026-06-05 18:21:21,150,232,Lompat
2026-06-05 18:21:21,151,232,Lompat
2026-06-05 18:21:22,150,232,Lompat
2026-06-05 18:21:22,151,232,Lompat
2026-06-05 18:21:22,151,232,Lompat
2026-06-05 18:21:22,151,232,Lompat
2026-06-05 18:21:23,148,232,Lompat
2026-06-05 18:21:23,106,232,Lompat
2026-06-05 18:21:23,52,232,Lompat
2026-06-05 18:21:24,25,232,Lompat
2026-06-05 18:21:24,35,232,Lompat
2026-06-05 18:21:24,46,232,Lompat
2026-06-05 18:21:24,52,232,Lompat
2026-06-05 18:21:25,50,232,Lompat
2026-06-05 18:21:25,39,232,Lompat
2026-06-05 18:21:25,18,232,Lompat
2026-06-05 18:21:26,36,232,Lompat
2026-06-05 18:21:26,138,232,Lompat
2026-06-05 18:21:26,138,232,Lompat
2026-06-05 18:21:26,155,232,Lompat
2026-06-05 18:21:27,168,232,Lompat
2026-06-05 18:21:27,171,232,Lompat
2026-06-05 18:21:27,166,232,Lompat
2026-06-05 18:21:28,165,232,Lompat
2026-06-05 18:21:28,173,232,Lompat
2026-06-05 18:21:28,175,232,Lompat
2026-06-05 18:21:28,171,232,Lompat
2026-06-05 18:21:29,170,232,Lompat
2026-06-05 18:21:29,169,232,Lompat
2026-06-05 18:21:30,170,232,Lompat
2026-06-05 18:21:30,171,232,Lompat
2026-06-05 18:21:30,172,232,Lompat
2026-06-05 18:21:31,171,232,Lompat
2026-06-05 18:21:31,171,232,Lompat
2026-06-05 18:21:31,171,232,Lompat
2026-06-05 18:21:32,170,232,Lompat
2026-06-05 18:21:32,170,232,Lompat
2026-06-05 18:21:32,170,232,Lompat
2026-06-05 18:21:33,170,232,Lompat
2026-06-05 18:21:33,170,232,Lompat
2026-06-05 18:21:33,169,232,Lompat
2026-06-05 18:21:34,168,232,Lompat
2026-06-05 18:21:34,168,232,Lompat
2026-06-05 18:21:34,166,232,Lompat
2026-06-05 18:21:35,165,232,Lompat
2026-06-05 18:21:35,165,232,Lompat
2026-06-05 18:21:46,153,232,Lompat
2026-06-05 18:21:47,98,232,Lompat
2026-06-05 18:21:47,87,232,Lompat
2026-06-05 18:21:47,99,232,Lompat
2026-06-05 18:21:48,114,232,Lompat
2026-06-05 18:21:48,122,232,Lompat
2026-06-05 18:21:48,127,232,Lompat
2026-06-05 18:21:48,113,232,Lompat
2026-06-05 18:21:49,135,232,Lompat
2026-06-05 18:21:49,135,232,Lompat
2026-06-05 18:21:49,136,232,Lompat
2026-06-05 18:21:50,137,232,Lompat
2026-06-05 18:21:50,124,232,Lompat
2026-06-05 18:21:50,109,232,Lompat
2026-06-05 18:21:51,94,232,Lompat
2026-06-05 18:21:51,92,232,Lompat
2026-06-05 18:21:51,94,232,Lompat
2026-06-05 18:21:51,96,232,Lompat
2026-06-05 18:21:52,93,232,Lompat
2026-06-05 18:21:52,91,232,Lompat
2026-06-05 18:21:52,89,232,Lompat
2026-06-05 18:21:53,90,232,Lompat
2026-06-05 18:21:53,91,232,Lompat
2026-06-05 18:21:53,92,232,Lompat
2026-06-05 18:21:54,93,232,Lompat
2026-06-05 18:21:54,93,232,Lompat
2026-06-05 18:21:54,94,232,Lompat
2026-06-05 18:21:54,94,232,Lompat
2026-06-05 18:21:55,94,232,Lompat
2026-06-05 18:21:55,93,232,Lompat
2026-06-05 18:21:55,93,232,Lompat
2026-06-05 18:21:56,92,232,Lompat
2026-06-05 18:21:56,92,232,Lompat
2026-06-05 18:21:56,92,232,Lompat
2026-06-05 18:21:56,91,232,Lompat
2026-06-05 18:21:57,90,232,Lompat
2026-06-05 18:21:57,78,232,Lompat
2026-06-05 18:21:57,30,232,Lompat
2026-06-05 18:21:58,6,232,Lompat
2026-06-05 18:21:58,148,232,Lompat
2026-06-05 18:21:59,143,232,Lompat
2026-06-05 18:21:59,139,232,Lompat
2026-06-05 18:21:59,137,232,Lompat
2026-06-05 18:22:00,134,232,Lompat
2026-06-05 18:22:00,128,232,Lompat
2026-06-05 18:22:00,125,232,Lompat
2026-06-05 18:22:00,122,232,Lompat
2026-06-05 18:22:01,120,232,Lompat
2026-06-05 18:22:01,120,232,Lompat
2026-06-05 18:22:01,121,232,Lompat
2026-06-05 18:22:02,120,232,Lompat
2026-06-05 18:22:02,135,232,Lompat
2026-06-05 18:22:02,139,232,Lompat
2026-06-05 18:22:03,140,232,Lompat
2026-06-05 18:22:03,140,232,Lompat
2026-06-05 18:22:03,145,232,Lompat
2026-06-05 18:22:04,149,232,Lompat
2026-06-05 18:22:04,154,232,Lompat
2026-06-05 18:22:04,162,232,Lompat
2026-06-05 18:22:05,166,232,Lompat
2026-06-05 18:22:05,167,232,Lompat
2026-06-05 18:22:05,166,232,Lompat
2026-06-05 18:22:05,165,232,Lompat
2026-06-05 18:22:06,164,232,Lompat
2026-06-05 18:22:06,163,232,Lompat
2026-06-05 18:22:06,146,232,Lompat
2026-06-05 18:22:07,136,232,Lompat
2026-06-05 18:22:07,128,232,Lompat
2026-06-05 18:22:07,125,232,Lompat
2026-06-05 18:22:07,124,232,Lompat
2026-06-05 18:22:08,126,232,Lompat
2026-06-05 18:22:08,133,232,Lompat
2026-06-05 18:22:08,134,232,Lompat
2026-06-05 18:22:09,134,232,Lompat
2026-06-05 18:22:09,135,232,Lompat
2026-06-05 18:22:09,142,232,Lompat
